TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,22.6,0.6,7,0,15,0,14:57:51,,,
6.38E+13,22.8,0.8,7,0,15,0.1,14:57:52,,,
6.38E+13,24.2,2.2,7,0,15,0.2,14:57:53,,,
6.38E+13,26.1,4.1,7,0,15,0.2,14:57:54,,,0.2
6.38E+13,23.7,1.7,7,0,15,0.1,14:57:55,,,0.1
6.38E+13,22,0,7,0,15,0,14:57:56,,,0
6.38E+13,22.9,0.9,7,0,15,0,14:57:57,,,0
6.38E+13,22,0,7,0,15,0,14:57:59,,,0
6.38E+13,22.2,0.2,7,0,15,0.1,14:58:00,,,0.1
6.38E+13,23.2,1.2,7,0,15,0.5,14:58:01,,,0.5
6.38E+13,23.3,1.3,7,0,15,0.1,14:58:02,,,0.1
6.38E+13,22.5,0.5,7,0,15,0,14:58:03,,,0
6.38E+13,22.3,0.3,7,0,15,0,14:58:04,,,0
6.38E+13,22.9,0.9,7,0,15,0.1,14:58:05,,,0.1
6.38E+13,22.6,0.6,7,0,15,0,14:58:06,,,0
6.38E+13,22.6,0.6,7,0,15,0,14:58:07,,,0
6.38E+13,22.8,0.8,7,0,15,0,14:58:09,,,0
6.38E+13,22.2,0.2,7,0,15,0,14:58:10,,,0
6.38E+13,22.5,0.5,7,0,15,0,14:58:11,,,0
6.38E+13,23.1,1.1,7,0,15,0,14:58:12,,,0
6.38E+13,23,1,7,0,15,0,14:58:13,,,0
6.38E+13,22.3,0.3,7,0,15,0,14:58:14,,,0
6.38E+13,22,0,7,0,15,0.2,14:58:15,,,0.2
6.38E+13,22.7,0.7,7,0,15,0,14:58:16,,,0
6.38E+13,22.7,0.7,7,0,15,0.1,14:58:17,,,0.1
6.38E+13,23.9,1.9,7,0,15,0.4,14:58:19,,,0.4
6.38E+13,22.6,0.6,7,0,15,0,14:58:20,,,0.07826087
6.38E+13,22.8,0.8,7,0,15,0,14:58:21,,,
6.38E+13,22.2,0.2,7,0,15,0,14:58:22,,,
6.38E+13,22.3,0.3,7,0,15,0,14:58:23,,,
6.38E+13,22.6,0.6,7,0,15,0,14:58:24,,,
6.38E+13,22.6,0.6,7,0,15,0,14:58:25,,,
6.38E+13,22.7,0.7,7,0,15,0,14:58:26,,,
6.38E+13,22,0,7,0,15,0,14:58:27,,,
6.38E+13,23,1,7,0,15,0,14:58:28,,,
6.38E+13,22.5,0.5,7,0,15,0,14:58:30,,,
6.38E+13,22.4,0.4,7,0,15,0,14:58:31,,,
