TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.3,0.3,7,0,15,0,16:14:17,,
6.38E+13,23.3,1.3,7,0,15,0.1,16:14:18,,
6.38E+13,22.4,0.4,7,0,15,0.3,16:14:19,,
6.38E+13,25.5,3.5,7,0,15,0.1,16:14:21,,
6.38E+13,26.4,4.4,7,0,15,0,16:14:22,,
6.38E+13,26.1,4.1,7,0,15,0,16:14:23,,
6.38E+13,26.9,4.9,7,0,15,0,16:14:24,,0
6.38E+13,24.5,2.5,7,0,15,0.1,16:14:25,,0.1
6.38E+13,23.4,1.4,7,0,15,0,16:14:26,,0
6.38E+13,23.1,1.1,7,0,15,0,16:14:27,,0
6.38E+13,22,0,7,0,15,0,16:14:28,,0
6.38E+13,22.8,0.8,7,0,15,0,16:14:29,,0
6.38E+13,22.4,0.4,7,0,15,0.1,16:14:30,,0.1
6.38E+13,22.3,0.3,7,0,15,0,16:14:32,,0
6.38E+13,23.8,1.8,7,0,15,0.4,16:14:33,,0.4
6.38E+13,24.3,2.3,7,0,15,0.3,16:14:34,,0.3
6.38E+13,23,1,7,0,15,0,16:14:35,,0
6.38E+13,22.9,0.9,7,0,15,0,16:14:36,,0
6.38E+13,22,0,7,0,15,0,16:14:37,,0
6.38E+13,22.9,0.9,7,0,15,0,16:14:38,,0
6.38E+13,23.1,1.1,7,0,15,0,16:14:39,,0
6.38E+13,22.9,0.9,7,0,15,0,16:14:40,,0
6.38E+13,22.5,0.5,7,0,15,0,16:14:42,,0
6.38E+13,22.6,0.6,7,0,15,0,16:14:43,,0
6.38E+13,22,0,7,0,15,0,16:14:44,,0
6.38E+13,22.2,0.2,7,0,15,0,16:14:45,,0
6.38E+13,23,1,7,0,15,0,16:14:46,,0
6.38E+13,22,0,7,0,15,0,16:14:47,,0
6.38E+13,22.7,0.7,7,0,15,0,16:14:48,,0
6.38E+13,22.1,0.1,7,0,15,0,16:14:49,,0.039130435
6.38E+13,22.9,0.9,7,0,15,0,16:14:50,,
6.38E+13,22.1,0.1,7,0,15,0,16:14:51,,
6.38E+13,22.6,0.6,7,0,15,0,16:14:53,,
6.38E+13,22.3,0.3,7,0,15,0,16:14:54,,
6.38E+13,22.7,0.7,7,0,15,0,16:14:55,,
6.38E+13,22.3,0.3,7,0,15,0,16:14:56,,
6.38E+13,22.4,0.4,7,0,15,0,16:14:57,,
6.38E+13,22.2,0.2,7,0,15,0,16:14:58,,
6.38E+13,22.2,0.2,7,0,15,0,16:14:59,,
6.38E+13,23,1,7,0,15,0,16:15:00,,
6.38E+13,22.3,0.3,7,0,15,0,16:15:01,,
6.38E+13,22,0,7,0,15,0,16:15:02,,
6.38E+13,23,1,7,0,15,0,16:15:03,,
6.38E+13,22.5,0.5,7,0,15,0,16:15:05,,
6.38E+13,22,0,7,0,15,0,16:15:06,,
6.38E+13,22.5,0.5,7,0,15,0,16:15:07,,
6.38E+13,22.7,0.7,7,0,15,0,16:15:08,,
6.38E+13,22.2,0.2,7,0,15,0,16:15:09,,
6.38E+13,22.9,0.9,7,0,15,0,16:15:10,,
6.38E+13,23,1,7,0,15,0,16:15:11,,
6.38E+13,22.4,0.4,7,0,15,0,16:15:12,,
6.38E+13,22,0,7,0,15,0,16:15:13,,
